label,awk,cat,cat -b,cat -n,cat -s,cd,chattr,chattr +a,chattr +i,chattr -i,crontab,crontab -e,crontab -l,crontab -r,curl,curl -X,curl -d,curl -o,curl -s,echo,echo -e,echo -n,free,free -g,free -h,free -m,grep,grep -E,grep -i,grep -r,grep -v,head,head -n,ifconfig,lockr,ls,ls -R,ls -a,ls -h,ls -l,ls -la,ls -lh,lscpu,id,pkill,pkill -9,pkill -f,pkill -u,ps,ps -e,ps -f,ps -u,ps -x,rm,rm -f,rm -r,rm -rf,sh,tftp,top,logname,whoami,uname,uname -a,uname -n,uname -r,uname -s,w,wc,wc -c,wc -l,wc -w,wget,wget --no-check-certificate,wget -O,wget -q,which,which -ls,ack,ack -i,ack -w,ack -c,ack -l,ack -n,bzip2,bzip2 -k,bzip2 -f,bzip2 -v,bzip2 -d,bzip2 -t,cmp,cmp -l,cmp -s,cmp -n,cmp -i,diff,diff -u,diff -c,diff -i,diff -b,diff -r,find,find -name,find -type,find -mtime,find -size,find -exec,gzip,gzip -k,gzip -d,gzip -v,gzip --best,gzip --fast,locate,locate -i,locate -r,locate -l,locate -e,mosh,mosh -p,mosh -s,mosh -c,mosh --predict,rsync,rsync -a,rsync -v,rsync -z,rsync --delete,rsync -P,scp,scp -r,scp -p,scp -C,scp -P,scp -l,scp -t,ssh,ssh -p,ssh -i,ssh -L,ssh -R,ssh -o,su,su -c,su -l,su -p,sudo,sudo -u,sudo -s,sudo -H,sudo -E,sudo -n,tar,tar -c,tar -x,tar -t,tar -z,tar -j,tar -v,tar -f,tar --exclude,zip,zip -r,zip -u,zip -d,zip -9,zip -l,nproc,chmod,chown,chrgp,dnf,yum,apt-get,kill,killall,bg
awk,1.0000000000000002,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.49310426294369447,0.26113496161342126,0.2688764614917004,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0
cat,0.0,1.0,0.5508013559945057,0.5602114453424601,0.5076000230139802,0.0,0.15551012636377876,0.18612050943623257,0.18261036780745646,0.18984117402157125,0.0,0.0,0.0,0.0,0.18794970840966013,0.09193280133230029,0.09193280133230029,0.21579001491716873,0.11927200803671593,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.08632373719575619,0.07089983971258237,0.07028399146372637,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.1922330085699346,0.10940667740212273,0.10448602436919095,0.08793619452956115,0.0,0.2368983363004324,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.18794970840966013,0.09310937744782587,0.21579001491716873,0.11927200803671593,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.2336037832887818,0.12269904433441489,0.21949568544393408,0.10105613571959719,0.22082410011130607,0.10823672585101114,0.0,0.0,0.0,0.0,0.0,0.0,0.2336037832887818,0.1287412493769006,0.09927248860209228,0.1031323495075092,0.13016855496249555,0.0,0.0,0.0,0.0,0.0,0.1992392481217261,0.12356769184083209,0.12198680552445725,0.20069235198713697,0.10592427642168196,0.1328159054504116,0.1992392481217261,0.10648728149582005,0.20376382915643668,0.12420301138941314,0.12605034211228014,0.11129417326115627,0.10648728149582005,0.0,0.0,0.13089843851846084,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.13471655539882488,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0
cat -b,0.0,0.5508013559945057,1.0000000000000002,0.5383328196180549,0.4342550555848582,0.0,0.08565518847204628,0.10251542897586512,0.10058203820700248,0.1045647760746704,0.0,0.0,0.0,0.0,0.10352295425081277,0.050636711634204516,0.050636711634204516,0.11885743282645118,0.06569518375881074,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.12302084461820234,0.2537678723411373,0.346046527882757,0.0,0.0,0.0,0.0,0.0,0.0,0.04754723150193587,0.03905172785348349,0.038712517802926755,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.10588220178722345,0.06026134626794266,0.057551043905025356,0.04843537518787893,0.0,0.13048392486712063,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.2611892610389867,0.17661450434589324,0.3114612270541403,0.17121840493435822,0.10352295425081277,0.051284771354066755,0.11885743282645118,0.06569518375881074,0.0,0.0,0.0,0.0,0.0,0.15232894025412524,0.0,0.22777099589121824,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.2017469989092569,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.1286692806009077,0.06758279999862571,0.12089852117746241,0.05566185658591895,0.1216302137775739,0.05961693536714252,0.0,0.0,0.0,0.0,0.0,0.0,0.1286692806009077,0.07091085472922368,0.054679421334981555,0.27684650965338065,0.07169701658118792,0.0,0.0,0.0,0.0,0.0,0.10974124803277255,0.06806125222304155,0.06719049789630913,0.11054161961224171,0.05834323508579929,0.0731551808197248,0.10974124803277255,0.05865333904406634,0.11223339340199814,0.06841118709188981,0.06942869935901527,0.06130098154653235,0.05865333904406634,0.0,0.0,0.07209903743353167,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.27448579946513524,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.07420206138858172,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0
cat -n,0.0,0.5602114453424601,0.5383328196180549,1.0,0.2843633425485279,0.0,0.08711855265564113,0.10426683959914686,0.10230041808393346,0.10635119848413395,0.0,0.0,0.0,0.0,0.10529157779986965,0.051501807508749206,0.051501807508749206,0.2948322435646126,0.25910331694638866,0.2656515127316415,0.14068200742293255,0.14485260846620823,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.048359545581797274,0.03971890167993453,0.03937389644233129,0.0,0.0,0.0,0.0,0.2689176077409075,0.0,0.0,0.0,0.0,0.0,0.0,0.10769113157349261,0.061290872877559466,0.05853426672995198,0.049262862635321196,0.0,0.13271315937808945,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.10529157779986965,0.052160938914983204,0.2948322435646126,0.25910331694638866,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.680200619011055,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.20519371752161397,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.1308675130736753,0.06873740896872117,0.12296399518898032,0.05661280385219936,0.12370818828980291,0.06063545262813058,0.0,0.0,0.0,0.0,0.0,0.0,0.1308675130736753,0.07212232138862759,0.05561358432252103,0.2815762554376914,0.07292191431367911,0.0,0.0,0.0,0.0,0.0,0.11161610715921724,0.06922403524378427,0.06833840463556581,0.11243015257589178,0.059339991991044734,0.07440499035684263,0.11161610715921724,0.05965539387736278,0.11415082924024153,0.06957994852634919,0.07061484434063205,0.062348269660826544,0.05965539387736278,0.0,0.0,0.07333080343549811,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.23035242316245028,0.0754697562115333,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0
cat -s,0.0,0.5076000230139802,0.4342550555848582,0.2843633425485279,1.0,0.0,0.07893694372116107,0.09447477487320538,0.0926930269016563,0.0963633843023506,0.0,0.0,0.0,0.0,0.09540327631421436,0.0466650920720153,0.0466650920720153,0.10953501653814199,0.060542474024360644,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.1133718769567112,0.23386394466656862,0.31890485309362154,0.0,0.0,0.0,0.0,0.0,0.0,0.043817930987218624,0.03598876026979433,0.035676155684501894,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.09757747957414546,0.05553483196720061,0.053037108374440624,0.04463641436696708,0.0,0.12024960095807312,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.2407032471352823,0.1627619930395966,0.28703220190006423,0.1577891291283679,0.09540327631421436,0.04726232213533379,0.10953501653814199,0.060542474024360644,0.0,0.0,0.0,0.0,0.0,0.1403812331563332,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.1185772857735385,0.06228203772794238,0.11141601498281031,0.05129609681697144,0.11209031829854045,0.054940964532931125,0.0,0.0,0.0,0.0,0.0,0.0,0.1185772857735385,0.06534906114656332,0.050390717499077135,0.05234998298349752,0.0660735614946593,0.0,0.0,0.0,0.0,0.0,0.1011338469318763,0.06272296322219079,0.06192050529161643,0.10187144248740056,0.05376716514938497,0.06741735666325156,0.1011338469318763,0.054052946537974454,0.103430524369224,0.06304545143967176,0.06398315655711348,0.05649292490868483,0.054052946537974454,0.0,0.0,0.06644405040446479,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.06838212662080766,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0
cd,0.0,0.0,0.0,0.0,0.0,1.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.4093169533912297,0.25034487776373787,0.24064404641048762,0.23649538773157963,0.20662325007000185,0.16970483191239957,0.16823074644225838,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0
chattr,0.0,0.15551012636377876,0.08565518847204628,0.08711855265564113,0.07893694372116107,0.0,1.0,0.6737019185292723,0.6609962303878688,0.6871696383251146,0.0,0.0,0.0,0.0,0.1520450786379302,0.07437058629273395,0.07437058629273395,0.17456696296568827,0.09648709750439942,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.3696022673293875,0.0,0.0,0.0,0.0,0.06983303949395313,0.057355618137059965,0.05685741733526754,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.15551012636377876,0.08850637231563499,0.08452572726078142,0.07113746398172255,0.0,0.19164289466991682,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.1520450786379302,0.07532239733581723,0.17456696296568827,0.09648709750439942,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.1889777105843878,0.09925945617304366,0.17756472748160992,0.0817510611340846,0.17863937087570403,0.08755992032538445,0.0,0.0,0.0,0.0,0.0,0.0,0.1889777105843878,0.10414739959474263,0.08030814979073606,0.08343064920752911,0.10530204246084983,0.0,0.0,0.0,0.0,0.0,0.16117794172046152,0.09996216318727309,0.09868327860519685,0.16235345453904973,0.08568922545544487,0.10744366117642679,0.16117794172046152,0.08614467788202858,0.16483817766893555,0.10047611562455848,0.1019705448918621,0.09003329384556896,0.08614467788202858,0.0,0.0,0.10589249404283041,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.10898122392826569,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.3696022673293875,0.3696022673293875,0.3696022673293875,0.3589112279507465,0.3589112279507465,0.3589112279507465,0.0,0.0,0.0
chattr +a,0.0,0.18612050943623257,0.10251542897586512,0.10426683959914686,0.09447477487320538,0.0,0.6737019185292723,1.0000000000000002,0.4839547965006608,0.7417595412181411,0.0,0.0,0.0,0.0,0.1819734068453237,0.08900958240812655,0.08900958240812655,0.2089284655451061,0.11547947494771682,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.2211771152549036,0.0,0.0,0.0,0.0,0.08357887161438533,0.0686454131078762,0.06804914719774352,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.18612050943623257,0.10592783562663026,0.10116364629171161,0.08514005708739315,0.0,0.22936559836856443,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.1819734068453237,0.09014874652796842,0.2089284655451061,0.11547947494771682,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.2261758033929008,0.118797540592786,0.21251630559076345,0.0978428189919625,0.2138024801997609,0.10479508542764775,0.0,0.0,0.0,0.0,0.0,0.0,0.2261758033929008,0.12464761956200991,0.09611588711572487,0.0998530146954966,0.12602954062066862,0.0,0.0,0.0,0.0,0.0,0.1929039691776813,0.1196385674154821,0.11810794908539748,0.19431086819937368,0.10255616574869107,0.12859271239399048,0.1929039691776813,0.1031012687567192,0.19728468055202095,0.12025368548972107,0.12204227600180331,0.10775531413022084,0.1031012687567192,0.0,0.0,0.12673621581800323,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.1304329267218536,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.2211771152549036,0.2211771152549036,0.2211771152549036,0.2147793913828878,0.2147793913828878,0.2147793913828878,0.0,0.0,0.0
chattr +i,0.0,0.18261036780745646,0.10058203820700248,0.10230041808393346,0.0926930269016563,0.0,0.6609962303878688,0.4839547965006608,1.0,0.4936293534729096,0.0,0.0,0.0,0.0,0.17854147753977437,0.08733090528910767,0.08733090528910767,0.20498817703758163,0.11330158862282436,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.2170058232143838,0.0,0.0,0.0,0.0,0.08200261504046756,0.06735079424558985,0.06676577361841561,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.18261036780745646,0.10393008854004936,0.09925574948204281,0.08353435732026876,0.0,0.22503987554800403,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.17854147753977437,0.08844858533171819,0.20498817703758163,0.11330158862282436,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.22191023854292222,0.11655707717532568,0.20850835217763666,0.09599755135831592,0.20977027016359676,0.10281870145489291,0.0,0.0,0.0,0.0,0.0,0.0,0.22191023854292222,0.12229682652110453,0.09430318857125178,0.09796983575566277,0.12365268522559082,0.0,0.0,0.0,0.0,0.0,0.18926589482135298,0.11738224264415913,0.11588049102594025,0.19064626041672667,0.1006220067042496,0.1261675168349485,0.18926589482135298,0.10115682933658864,0.19356398812525374,0.11798575989286018,0.11974061846410307,0.1057231016943317,0.10115682933658864,0.0,0.0,0.12434603287489915,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.1279730256220968,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.2170058232143838,0.2170058232143838,0.2170058232143838,0.2107287572803921,0.2107287572803921,0.2107287572803921,0.0,0.0,0.0
chattr -i,0.0,0.18984117402157125,0.1045647760746704,0.10635119848413395,0.0963633843023506,0.0,0.6871696383251146,0.7417595412181411,0.4936293534729096,1.0000000000000002,0.0,0.0,0.0,0.0,0.18561116827405436,0.09078893924539744,0.09078893924539744,0.21310507533935966,0.11778798137762578,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.22559858316464107,0.0,0.0,0.0,0.0,0.08524966516980892,0.07001767755240225,0.06940949191637803,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.18984117402157125,0.10804539885387154,0.10318597041505202,0.08684205971009341,0.0,0.23395075914171026,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.18561116827405436,0.09195087596354361,0.21310507533935966,0.11778798137762578,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.2659792771344879,0.0,0.23069719818326273,0.12117237721583075,0.2167646385359807,0.09979875771497478,0.21807652457427068,0.10689000427484646,0.0,0.0,0.0,0.0,0.0,0.0,0.23069719818326273,0.12713940289720455,0.09803730339791279,0.10184913847917947,0.12854894941615377,0.0,0.0,0.0,0.0,0.0,0.19676023933654074,0.12203021668708451,0.12046900034589589,0.19819526314351885,0.10460632720088725,0.13116336058524147,0.19676023933654074,0.10516232715661596,0.20122852385216647,0.12265763135368483,0.12448197690101889,0.10990940978781799,0.10516232715661596,0.0,0.0,0.12926975148960768,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.13304036194049804,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.22559858316464107,0.22559858316464107,0.22559858316464107,0.21907296481871966,0.21907296481871966,0.21907296481871966,0.0,0.0,0.0
