Command,Description
30-systemd-environment-d-generator,load variables specified environmentd
abicompat,check abi compatibility
abidb,check binary abixml corpus andor submit new data
abidiff,compare abis elf files
abidw,serialize abi elf file
abilint,validate abigail abi representation
abipkgdiff,compare abis elf files software packages
ac,print statistics users connect time
accessdb,dumps content mandb database human readable format
accton,turns process accounting
actions,independently defined actions tc
addpart,tell kernel existence partition
addr2line,convert addresses symboloffset file names line numbers
admin,create administer sccs files development
agetty,alternative linux getty
alias,define display aliases
anacron,runs commands periodically
apropos,search manual page names descriptions
ar,create modify extract archives
ar,create maintain library archives
arch,print machine hardware name uname
aria_chk,aria tablemaintenance utility
aria_dump_log,dump content aria log pages
aria_ftdump,display fulltext index information
aria_pack,generate compressed readonly aria tables
aria_read_log,display aria log file contents
arp,manipulate system arp cache
arpd,userspace arp daemon
arping,send arp request neighbour host
arptables-nft-restore,restore arp tables nftbased
arptables-nft-save,dump arptables rules stdout nftbased
arptables-nft,based
arptables-restore,restore arp tables nftbased
arptables-save,dump arptables rules stdout nftbased
arptables-translate,translation tool migrate iptables nftables
arptables,based
AS,portable gnu assembler
as,portable gnu assembler
asa,control characters
ascii-xfr,uploaddownload files using ascii protocol
astraceroute,autonomous system trace route utility
at,execute commands later time
attr,extended attributes xfs filesystem objects
audispd-zos-remote,zos remoteservices audit dispatcher plugin
audit2allow,generate selinux policy allowdontaudit rules logs denied operations
audit2why,generate selinux policy allowdontaudit rules logs denied operations
auditctl,utility assist controlling kernels audit system
auditd,linux audit daemon
augenrules,script merges component audit rule files
aureport,tool produces summary reports audit daemon logs
ausearch,tool query audit daemon logs
autofs,service control automounter
autofsd-probe,probe autofs mountunmount daemon
automount,manage autofs mount points
autopoint,copies standard gettext infrastructure
avcstat,display selinux avc statistics
awk,pattern scanning processing language
b2sum,compute check blake2 message digest
babeltrace2-convert,convert one traces given format
babeltrace2-help,get help babeltrace 2 plugin component class
babeltrace2-list-plugins,list babeltrace 2 plugins properties
babeltrace2-query,query object babeltrace 2 component class
babeltrace2-run,create babeltrace 2 trace processing graph run
babeltrace2,convert process one traces
badblocks,search device bad blocks
base32,base32 encodedecode data print standard output
base64,base64 encodedecode data print standard output
basename,strip directory suffix filenames
basename,directory portion pathname
basenc,encodedecode data print standard output
bash,gnu bourneagain shell
basic,basic traffic control filter
batch,schedule commands executed batch queue
bc,precision arithmetic language
bfifo,packet limited first first queue
bg,run jobs background
bits,convert bit masks fromto various formats
blkdeactivate,utility deactivate block devices
blkdiscard,discard sectors device
blkid,locateprint block device attributes
blkiomon,monitor block device io based blktrace data
blkmapd,pnfs block layout mapping daemon
blkparse,produce formatted output event streams block devices
blkpr,run persistent reservations command device
blkrawverify,verifies output file produced blkparse
blktrace,generate traces io traffic block devices
blkzone,run zone command device
