sid,tactic_id,tech_id
2000373,TA0001,T1190
2010375,TA0001,T1190
2010877,TA0008,T1210
2010941,TA0008,T1210
2009981,TA0001,T1190
2009982,TA0001,T1190
2009983,TA0001,T1190
2009984,TA0001,T1190
2009985,TA0001,T1190
2010081,TA0001,T1190
2008327,TA0005,T1027
2008278,TA0005,T1027
2009693,TA0001,T1190
2000372,TA0001,T1190
2009770,TA0001,T1190
2009771,TA0001,T1190
2009772,TA0001,T1190
2009773,TA0001,T1190
2010038,TA0001,T1190
2010286,TA0001,T1190
2010287,TA0001,T1190
2011053,TA0001,T1190
2010841,TA0008,T1210
2010930,TA0001,T1190
2003400,TA0005,T1027
2003401,TA0005,T1027
2003402,TA0005,T1027
2003403,TA0005,T1027
2011764,TA0007,T1082
2010835,TA0001,T1190
2010837,TA0001,T1190
2008886,TA0007,T1082
2003230,TA0008,T1210
2008824,TA0001,T1190
2010665,TA0001,T1190
2011675,TA0001,T1190
2011055,TA0001,T1190
2010253,TA0001,T1190
2010278,TA0001,T1190
2010277,TA0001,T1190
2009328,TA0001,T1190
2008887,TA0007,T1082
2007998,TA0001,T1190
2009226,TA0001,T1190
2009322,TA0001,T1190
2010161,TA0001,T1190
2011126,TA0001,T1190
2010978,TA0001,T1190
2007504,TA0001,T1190
2007505,TA0001,T1190
2007506,TA0001,T1190
2007507,TA0001,T1190
2007508,TA0001,T1190
2007509,TA0001,T1190
2011826,TA0008,T1210
2006718,TA0001,T1190
2006719,TA0001,T1190
2006720,TA0001,T1190
2006721,TA0001,T1190
2006722,TA0001,T1190
2006723,TA0001,T1190
2006724,TA0001,T1190
2006725,TA0001,T1190
2006726,TA0001,T1190
2006727,TA0001,T1190
2006728,TA0001,T1190
2006729,TA0001,T1190
2007024,TA0001,T1190
2007025,TA0001,T1190
2007026,TA0001,T1190
2007027,TA0001,T1190
2007028,TA0001,T1190
2007029,TA0001,T1190
2011538,TA0001,T1190
2004127,TA0001,T1190
2004689,TA0001,T1190
2004690,TA0001,T1190
2004691,TA0001,T1190
2004692,TA0001,T1190
2004693,TA0001,T1190
2004694,TA0001,T1190
2004409,TA0001,T1190
2004410,TA0001,T1190
2004411,TA0001,T1190
2004412,TA0001,T1190
2004413,TA0001,T1190
