label,awk,cat,cat -b,cat -n,cat -s,cd,chattr,chattr +a,chattr +i,chattr -i,crontab,crontab -e,crontab -l,crontab -r,curl,curl -X,curl -d,curl -o,curl -s,echo,echo -e,echo -n,free,free -g,free -h,free -m,grep,grep -E,grep -i,grep -r,grep -v,head,head -n,ifconfig,lockr,ls,ls -R,ls -a,ls -h,ls -l,lscpu,pkill,pkill -9,pkill -f,pkill -u,ps,ps -e,ps -f,ps -u,rm,rm -f,rm -r,sh,tftp,top,uname,uname -a,uname -n,uname -r,uname -s,w,wc,wc -c,wc -l,wc -w,wget,wget --no-check-certificate,wget -O,wget -q,which
awk,1.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.47835241458935046,0.2468781725133956,0.2521625018083618,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0
cat,0.0,1.0000000000000002,0.5249396778509773,0.5371126076475878,0.5111695239223625,0.0,0.20008024682298287,0.2387252999457239,0.23363644857984164,0.2387252999457239,0.0,0.0,0.0,0.0,0.22794936170857308,0.11630978266722188,0.11630978266722188,0.2710881289323584,0.15324589898800792,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.10790734362053066,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.24207367698058727,0.12545161793588316,0.1274934738909158,0.0,0.2123591219040576,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.22794936170857308,0.11882041191612196,0.2710881289323584,0.15324589898800792,0.0
cat -b,0.0,0.5249396778509773,1.0,0.5555158211157769,0.3998963592812824,0.0,0.10503006031160063,0.1253163820483862,0.12264504205174848,0.1253163820483862,0.0,0.0,0.0,0.0,0.11965966450163422,0.06105561984424863,0.06105561984424863,0.14230491507097637,0.08044485284674828,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.09766716669175024,0.212966510111668,0.3006482659068558,0.0,0.0,0.0,0.0,0.0,0.0,0.056644846197916064,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.127074078010391,0.06585453190514638,0.06692638311239932,0.0,0.11147572904103238,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.23140194125477112,0.14284783273654086,0.27324854715043173,0.14284783273654086,0.11965966450163422,0.06237354875336947,0.14230491507097637,0.08044485284674828,0.0
cat -n,0.0,0.5371126076475878,0.5555158211157769,1.0,0.27455559594391604,0.0,0.10746562310986531,0.1282223683653003,0.1254890821382403,0.1282223683653003,0.0,0.0,0.0,0.0,0.12243447607889488,0.06247145066331575,0.06247145066331575,0.2967955361314638,0.2532462463567666,0.2503536992958599,0.12920780135956705,0.13197344306418346,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.05795839471634752,0.0,0.0,0.0,0.2566648492294768,0.0,0.0,0.0,0.0,0.0,0.13002082388588307,0.0673816456431511,0.06847835221959944,0.0,0.11406076172364034,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.12243447607889488,0.06381994128602878,0.2967955361314638,0.2532462463567666,0.0
cat -s,0.0,0.5111695239223625,0.3998963592812824,0.27455559594391604,1.0000000000000002,0.0,0.10227492451477291,0.12202909792147884,0.11942783219146916,0.12202909792147884,0.0,0.0,0.0,0.0,0.11652076670297767,0.059454016233517246,0.059454016233517246,0.13857198980735763,0.07833463322875445,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.09510517342688052,0.20737999846163782,0.2927616970788774,0.0,0.0,0.0,0.0,0.0,0.0,0.05515894546623343,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.12374068621630252,0.0641270438155755,0.06517077835202757,0.0,0.10855151124426803,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.2253318336121115,0.13910066572260138,0.26608072441995034,0.13910066572260138,0.11652076670297767,0.06073737339142305,0.13857198980735763,0.07833463322875445,0.0
cd,0.0,0.0,0.0,0.0,0.0,1.0000000000000002,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.40582768930538965,0.2321398118683642,0.21496096313219537,0.22487294248728953,0.19641581363486343,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0
chattr,0.0,0.20008024682298287,0.10503006031160063,0.10746562310986531,0.10227492451477291,0.0,1.0000000000000002,0.6908958953748794,0.6761682292177515,0.6908958953748794,0.0,0.0,0.0,0.0,0.18012872767917718,0.09190959347924485,0.09190959347924485,0.214217576164759,0.12109702172385334,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.6715861569423172,0.0,0.0,0.0,0.0,0.0852698703252168,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.19128995629687418,0.0991335977197211,0.1007471004403578,0.0,0.1678091052895742,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.18012872767917718,0.09389352731827295,0.214217576164759,0.12109702172385334,0.0
chattr +a,0.0,0.2387252999457239,0.1253163820483862,0.1282223683653003,0.12202909792147884,0.0,0.6908958953748794,1.0,0.5135254131407665,0.7403369971063593,0.0,0.0,0.0,0.0,0.2149201894082915,0.1096617263304072,0.1096617263304072,0.25559322289732295,0.14448664119820553,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.4006507621346917,0.0,0.0,0.0,0.0,0.10173955546811177,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.2282371844231959,0.11828103086696469,0.12020617803698003,0.0,0.20022105944981028,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.2149201894082915,0.11202885256258084,0.25559322289732295,0.14448664119820553,0.0
chattr +i,0.0,0.23363644857984164,0.12264504205174848,0.1254890821382403,0.11942783219146916,0.0,0.6761682292177515,0.5135254131407665,1.0000000000000002,0.5135254131407665,0.0,0.0,0.0,0.0,0.21033878601420333,0.10732409296708806,0.10732409296708806,0.25014480196436356,0.1414066532724164,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.3921101835760118,0.0,0.0,0.0,0.0,0.09957079716756356,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.22337190576206883,0.11575966180544435,0.11764377106365108,0.0,0.19595299396998386,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.21033878601420333,0.10964075972319212,0.25014480196436356,0.1414066532724164,0.0
chattr -i,0.0,0.2387252999457239,0.1253163820483862,0.1282223683653003,0.12202909792147884,0.0,0.6908958953748794,0.7403369971063593,0.5135254131407665,1.0,0.0,0.0,0.0,0.0,0.2149201894082915,0.1096617263304072,0.1096617263304072,0.25559322289732295,0.14448664119820553,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.4006507621346917,0.0,0.0,0.0,0.0,0.10173955546811177,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.2282371844231959,0.11828103086696469,0.12020617803698003,0.0,0.20022105944981028,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.2149201894082915,0.11202885256258084,0.25559322289732295,0.14448664119820553,0.0
